number,group,image,audio,passage,question_text,o1,o2,o3,o4,correct,img_url,audio_url
17,part_2_11,,part_2_11.mp3,,,I signed up for them online.,Usually fifteen percent off.,"No, the mail hasn't arrived",,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_11.mp3
18,part_2_12,,part_2_12.mp3,,,A driver's license,"Sorry, I don't know any other routes.",They'll be away for a few days.,,B,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_12.mp3
19,part_2_13,,part_2_13.mp3,,,Next week works for me.,A well-known economist.,"Oh, I didn't think you could make it.",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_13.mp3
20,part_2_14,,part_2_14.mp3,,,Another focus group,They weren't what we expected.,To reschedule a launch date.,,B,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_14.mp3
21,part_2_15,,part_2_15.mp3,,,"Go ahead, take some.",Was I supposed to?,"Yes, I have that one already.",,B,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_15.mp3
22,part_2_16,,part_2_16.mp3,,,A two-year coniract,She'll certainly be missed.,We already booked it.,,B,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_16.mp3
23,part_2_17,,part_2_17.mp3,,,From ten to eleven,That's what he said,The meeting invitation has the details,,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_17.mp3
24,part_2_18,,part_2_18.mp3,,,They're in the report,Almost fifty people were in attendance,I'm working the night shift all week,,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_18.mp3
25,part_2_19,,part_2_19.mp3,,,The career center opens at noon.,Take a right at the next corner.,"Yes, it was an incredible experience",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_19.mp3
26,part_2_20,,part_2_20.mp3,,,Not until two o'clock,"Oh, isn't it allowed?",At the top of the stairs,,B,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_20.mp3
27,part_2_21,,part_2_21.mp3,,,Conference room C.,"Yes, yesterday after lunch","Sure, I'm happy to give an update",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_21.mp3
28,part_2_22,,part_2_22.mp3,,,I plan to watch that show today.,About twenty-five kilometers.,"Sorry, it's been a very busy day.",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_22.mp3
29,part_2_23,,part_2_23.mp3,,,Don't tell me it's broken again.,Twelve copies on colored paper.,"No, my office is on the main floor",,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_23.mp3
30,part_2_24,,part_2_24.mp3,,,Have they been approved?,The Compton Hotel,Four hundred seventy dollars,,A,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_24.mp3
31,part_2_25,,part_2_25.mp3,,,It was a moving story.,In front of the theater.,"Sure, that's very kind of you.",,C,,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_2_25.mp3
32,part_3_32_34,part_3_32_34.png,part_3_32_34.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""504"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image24.png"" width=""500""/>
</p>
</div>",Where is the conversation taking place?,At a park,At a museum,At a theater,At a car dealership,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_32_34.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_32_34.mp3
33,part_3_32_34,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""504"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image24.png"" width=""500""/>
</p>
</div>",Why does the woman apologize?,An office is about to close.,An event has been canceled,Some tickets are unavailable.,Some prices have increased,C,,
34,part_3_32_34,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""504"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image24.png"" width=""500""/>
</p>
</div>",What does the man say he will do next?,Phone a friend,Register a complaint,Go to a different location,Sign up for a membership,D,,
35,part_3_35_37,part_3_35_37.png,part_3_35_37.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""533"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image25.png"" width=""503""/>
</p>
</div>","Why does the man say, ""I'm waiting for the
                            department budget proposal""?",To request a document from the woman,To ask for a deadline extension,To inform the woman about a scheduling change,To explain why he cannot make a decision,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_35_37.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_35_37.mp3
36,part_3_35_37,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""533"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image25.png"" width=""503""/>
</p>
</div>","What does the woman say about an office supplies
                            estimate?",It was already approved,It contained some mistakes,It was misplaced.,It is higher than expected,D,,
37,part_3_35_37,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""533"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image25.png"" width=""503""/>
</p>
</div>",What will the man discuss at a meeting?,Product quality testing,Candidates for a job,Contracts with vendors,Design modifications,C,,
38,part_3_38_40,part_3_38_40.png,part_3_38_40.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""532"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image26.png"" width=""501""/>
</p>
</div>",What is the woman coordinating?,A company banquet,A grand opening,A new-hire orientation,A yearly budget meeting,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_38_40.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_38_40.mp3
39,part_3_38_40,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""532"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image26.png"" width=""501""/>
</p>
</div>",Where do the speakers most likely work?,At an insurance company,At a department store,At a business school,At a bank,D,,
40,part_3_38_40,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""532"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image26.png"" width=""501""/>
</p>
</div>",What does the woman offer to do?,Find another presenter,Confirm an order,Book a venue,Prepare a contract,A,,
41,part_3_41_43,part_3_41_43.png,part_3_41_43.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""514"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image27.png"" width=""504""/>
</p>
</div>",What is the conversation mainly about?,Organizing a training session,Preparing for a business exposition,Finding a guest speaker for a convention,Creating an employee handbook,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_41_43.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_41_43.mp3
42,part_3_41_43,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""514"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image27.png"" width=""504""/>
</p>
</div>",What does the man suggest doing?,Printing a large sign,Revising a timetable,Sending out invitations,Making a pamphlet,D,,
43,part_3_41_43,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""514"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image27.png"" width=""504""/>
</p>
</div>",What does Susan say she is concerned about?,An approaching deadline,An incomplete order,A canceled reservation,A dissatisfied client,A,,
44,part_3_44_46,part_3_44_46.png,part_3_44_46.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""402"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image28.png"" width=""507""/>
</p>
</div>",What does the woman ask the man about?,The model number of a product,The availability of colors,The price of an item,The location of a store,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_44_46.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_44_46.mp3
45,part_3_44_46,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""402"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image28.png"" width=""507""/>
</p>
</div>","Why does the woman say, ""these sandals look
                            great""?",To convince a friend to buy shoes,To show interest in making a purchase,To compliment a coworker,To express disagreement,B,,
46,part_3_44_46,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""402"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image28.png"" width=""507""/>
</p>
</div>",What does the man say he will do?,Print a receipt,Provide a coupon code,Find a brand name,Check a Web site,D,,
47,part_3_47_49,part_3_47_49.png,part_3_47_49.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""408"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image29.png"" width=""501""/>
</p>
</div>",Where do the speakers most likely work?,In a bakery,In an appliance store,At a warehouse,At a construction site,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_47_49.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_47_49.mp3
48,part_3_47_49,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""408"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image29.png"" width=""501""/>
</p>
</div>",What problem does the man mention?,An employee was late to work.,A machine was not working properly.,A shipment was lost.,A customer was not satisfied.,B,,
49,part_3_47_49,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""408"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image29.png"" width=""501""/>
</p>
</div>",What will happen at noon?,A repair person will arrive,A display will be set up,A business will close.,An order will be delivered.,D,,
50,part_3_50_52,part_3_50_52.png,part_3_50_52.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""423"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image30.png"" width=""506""/>
</p>
</div>",What problem does the woman mention?,Customer complaints have increased.,Bad weather has been predicted,Parking in the area is expensive,The sales forecast is delayed,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_50_52.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_50_52.mp3
51,part_3_50_52,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""423"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image30.png"" width=""506""/>
</p>
</div>","What does the man say he will decide
                            tomorrow?",Whether the store will remain closed,Whether additional employees should be hired,When he will launch a new ad campaign,When he will meet with investors,A,,
52,part_3_50_52,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""423"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image30.png"" width=""506""/>
</p>
</div>","What does the woman offer to help the man
                            with?",Organizing a workshop,Making a work schedule,Contacting employees,Calling a consultant,C,,
53,part_3_53_55,part_3_53_55_1.png part_3_53_55_2.png,part_3_53_55.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""268"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image31.png"" width=""498""/>
</p>
<p>
<img height=""270"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image32.png"" width=""496""/>
</p>
</div>",Where is the conversation taking place?,In a hotel,In an airport,At a rental car company,At a travel agency,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_53_55_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_53_55_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_53_55.mp3
54,part_3_53_55,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""268"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image31.png"" width=""498""/>
</p>
<p>
<img height=""270"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image32.png"" width=""496""/>
</p>
</div>","According to the woman, wnat will the men
                            receive?",A parking pass,A travel guidebook,A rental upgrade,A discount voucher,D,,
55,part_3_53_55,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""268"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image31.png"" width=""498""/>
</p>
<p>
<img height=""270"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image32.png"" width=""496""/>
</p>
</div>",What will the men most likely do next?,Return to their workplace,Change their hotel reservation,Give a presentation,Eat at a restaurant,D,,
56,part_3_56_58,part_3_56_58_1.png part_3_56_58_2.png,part_3_56_58.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""369"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image33.png"" width=""499""/>
</p>
<p>
<img height=""172"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image34.png"" width=""501""/>
</p>
</div>",Why is the man calling?,To check the status of an order,To provide an updated phone number,To schedule a repair,To inquire about a bill,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_56_58_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_56_58_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_56_58.mp3
57,part_3_56_58,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""369"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image33.png"" width=""499""/>
</p>
<p>
<img height=""172"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image34.png"" width=""501""/>
</p>
</div>",What problem does the woman mention?,An invoice is missing,A credit card payment was not received,An address was incorrect,A product is no longer in stock,C,,
58,part_3_56_58,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""369"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image33.png"" width=""499""/>
</p>
<p>
<img height=""172"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image34.png"" width=""501""/>
</p>
</div>",What does the woman offer to do?,Talk to a supervisor,Provide a refund,Change a password,Add product insurance,B,,
59,part_3_59_61,part_3_59_61_1.png part_3_59_61_2.png,part_3_59_61.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""287"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image35.png"" width=""503""/>
</p>
<p>
<img height=""265"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image36.png"" width=""500""/>
</p>
</div>",Where most likely are the speakers?,In a car repair shop,In a bank,In a parking garage,In a computer store,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_59_61_1.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_59_61_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_59_61.mp3
60,part_3_59_61,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""287"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image35.png"" width=""503""/>
</p>
<p>
<img height=""265"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image36.png"" width=""500""/>
</p>
</div>",What does the man decide to do?,Return at a later time,Withdraw money from a cash machine,Call a customer service number,Make a payment online,D,,
61,part_3_59_61,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""287"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image35.png"" width=""503""/>
</p>
<p>
<img height=""265"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image36.png"" width=""500""/>
</p>
</div>",What will be sent to the man?,An account statement,An appointment time,A confirmation number,A warranty offer,C,,
62,part_3_62_64,part_3_62_64_1.jpg part_3_62_64_2.png,part_3_62_64.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""478"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image37.png"" width=""511""/>
</p>
</div>",Who most likely is the man?,An author,A teacher,A store clerk,A delivery person,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_62_64_1.jpg https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_62_64_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_62_64.mp3
63,part_3_62_64,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""478"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image37.png"" width=""511""/>
</p>
</div>","What does the woman say she heard about the
                            book?",It will provide opportunities for discussion.,It is the first book in a series.,It has been a best seller for many months,It is difficult for children to understand.,A,,
64,part_3_62_64,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""478"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image37.png"" width=""511""/>
</p>
</div>","Look at the graphic. In which section is the book
                            that the woman is looking for?",Nonfiction,Young Adult,Travel,Fiction,D,,
65,part_3_65_67,part_3_65_67_1.jpg part_3_65_67_2.png,part_3_65_67.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""546"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image40.png"" width=""462""/>
</p>
</div>",What event is taking place?,A training session,A job interview,A management meeting,An award ceremony,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_65_67_1.jpg https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_65_67_2.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_65_67.mp3
66,part_3_65_67,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""546"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image40.png"" width=""462""/>
</p>
</div>",What does the man ask about?,Experiment results,Alternative power sources,Additional order requests,Different model types,B,,
67,part_3_65_67,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""546"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image40.png"" width=""462""/>
</p>
</div>","Look at the graphic. According to the woman, how
                            many bars will be displayed when the battery should
                            be replaced?",Three bars,Three bars,One bar,Zero bars,C,,
68,part_3_68_70,part_3_68_70_1.jpg part_3_68_70_2.png part_3_68_70_3.png,part_3_68_70.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""512"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image38.png"" width=""506""/>
</p>
<p>
<img height=""101"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image39.png"" width=""497""/>
</p>
</div>",Who most likely is the man?,A financial advisor,A food critic,An editor,A chef,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_68_70_1.jpg https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_68_70_2.png https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_3_68_70_3.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_3_68_70.mp3
69,part_3_68_70,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""512"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image38.png"" width=""506""/>
</p>
<p>
<img height=""101"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image39.png"" width=""497""/>
</p>
</div>","Look at the graphic. What area does the woman want
                            the restaurant to improve in?",Atmosphere,Prices,Customer service,Menu options,C,,
70,part_3_68_70,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""512"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image38.png"" width=""506""/>
</p>
<p>
<img height=""101"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image39.png"" width=""497""/>
</p>
</div>",What does the man recommend doing?,Renovating a building,Asking employees for suggestions,Offering cooking classes,Providing food samples,B,,
71,part_4_71_73,part_4_71_73.png,part_4_71_73.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""373"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image41.png"" width=""502""/>
</p>
</div>",What is the main topic of the broadcast?,A weather report,A traffic update,A celebrity interview,An international news story,B,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_71_73.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_71_73.mp3
72,part_4_71_73,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""373"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image41.png"" width=""502""/>
</p>
</div>","According to the speaker, what will begin
                            today?",A conference,A seasonal market,A sports tournament,A concert series,C,,
73,part_4_71_73,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""373"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image41.png"" width=""502""/>
</p>
</div>","What does the speaker suggest that listeners
                            do?",Arrive early,Purchase tickets online,Bring warm clothes,Take public transportation,D,,
74,part_4_74_76,part_4_74_76.png,part_4_74_76.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""466"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image42.png"" width=""513""/>
</p>
</div>",Where is the announcement taking place?,At a shopping mall,At a ski resort,At a design company headquarters,At a sports stadium,A,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_74_76.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_74_76.mp3
75,part_4_74_76,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""466"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image42.png"" width=""513""/>
</p>
</div>","What does the speaker say will happen immediately
                            after today's event?",A famous athlete will speak,A contract will be signed,Trainers will provide consultations,Attendees will fill out a survey.,C,,
76,part_4_74_76,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""466"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image42.png"" width=""513""/>
</p>
</div>",What does the speaker say about Olympiad?,It is now officially open,It is giving away free tickets,It has won an award,It has undergone a merger,A,,
77,part_4_77_79,part_4_77_79.png,part_4_77_79.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""381"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image51.png"" width=""509""/>
</p>
</div>",What business is the speaker calling?,A doctor's office,A car repair shop,A transportation service,An employment agency,C,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_77_79.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_77_79.mp3
78,part_4_77_79,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""381"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image51.png"" width=""509""/>
</p>
</div>",Why did the speaker take a taxi?,Her car broke down.,Her bus never came.,She was concerned about parking,She was late for a party.,B,,
79,part_4_77_79,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""381"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image51.png"" width=""509""/>
</p>
</div>",What would the speaker like to know?,When a business will open,How much a repair will cost,How to get to an event,Whether a schedule has changed,D,,
80,part_4_80_82,part_4_80_82.png,part_4_80_82.mp3,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""404"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image44.png"" width=""505""/>
</p>
</div>",Who most likely is the speaker?,An accountant,A travel agent,A computer technician,A hiring manager,D,https://my-toeic-bucket.s3.amazonaws.com/test_1/images/part_4_80_82.png,https://my-toeic-bucket.s3.amazonaws.com/test_1/audio/part_4_80_82.mp3
81,part_4_80_82,,,"<div class=""alert alert-warning answer_content"">
<p>
<img height=""404"" src=""https://www.anhngumshoa.com/uploads/images/userfiles/2021/06/25/image44.png"" width=""505""/>
</p>
</div>","What does the speaker mean when she says, ""the
                            deadline to submit was May 15""?",She missed a good job opportunity,She needs to verify some details,She must move forward with a task,She forgot to notify a colleague,C,,
